# The total number of employees available is 47.

# staffing requirements are 
 ('//11	13	14	18	20	23	21	19	18	17	17	16	15	13	10];'
'//10	12	14	17	19	22	20	19	19	17	20	18	16	14	12];'
'//9	    11	13	15	17	21	18	15	16	17	15	13	11	11	9];'
'//9   	9	11	12	16	19	18	15	14	16	15	13	11	9	6];'
'//8	    9	11	13	15	19	18	15	16	17	14	13	10	9	8];'
'//7	    8	10	13	16	17	16	15	14	15	12	10	8	8	6];'
'//7	    7	8	11	15	18	16	15	14	13	15	13	10	8	7];'
'//11	13	14	18	20	23	21	19	18	17	17	16	15	13	10];'
'//10	12	14	17	19	22	20	19	19	17	20	18	16	14	12];'
'//9	11	13	15	17	21	18	15	16	17	15	13	11	11	9];'
'//9	9	11	12	16	19	18	15	14	16	15	13	11	9	6];'
'//8	9	11	13	15	19	18	15	16	16	14	13	10	9	8];'
'//7	8	10	13	16	17	16	15	14	15	12	10	8	8	6];'
'//7	7	8	11	15	18	16	15	14	13	15	13	10	8	7];'
'//9	12	14	16	20	22	20	15	14	15	17	16	15	13	10];'
'//9	11	13	15	17	21	18	15	16	17	15	13	11	11	9];'
'//9	9	11	12	16	19	18	15	14	16	15	13	11	9	6];'
'//7	9	11	12	15	18	17	13	14	15	13	11	10	8	6];'
'//7	9	11	14	16	19	17	15	14	13	13	12	11	9	6];'
'//6	7	9	12	15	16	15	14	13	13	11	9	7	7	5];'
'//6	7	8	10	14	17	16	15	14	12	14	13	10	8	7];'
'//10	13	15	17	21	23	21	16	15	16	18	17	16	14	11];'
'//10	12	14	16	18	22	19	16	17	17	16	14	12	13	10];'
'//10	10	12	13	17	20	18	16	15	17	16	14	12	10	7];'
'//9	9	11	14	16	19	17	15	14	13	13	12	11	9	6];'
'//8	9	11	12	15	18	17	13	14	14	13	11	10	8	6];'
'//8	9	9	12	15	16	15	14	13	13	11	9	7	7	5];'
'//8	7	8	10	14	17	16	15	14	12	14	13	10	8	7];')
    
