#This is data of staffing requirements calculated by Erlang A for instance22, and the total number of employees available is 152.

# staffing requirements for 15 intervals in 28 days are (each row represents a day, and each column represents an interval):
'[39	41	43	45	49	54	49	44	46	45	45	44	44	42	39];'
'[39	40	42	44	46	50	47	44	47	46	44	42	40	40	39];'
'[39	39	40	41	44	48	47	45	45	44	44	42	40	39	39];'
'[39	39	40	41	43	45	46	42	44	43	42	40	39	39	38];'
'[39	39	40	43	45	47	46	44	43	42	42	41	40	40	39];'
'[39	39	41	43	46	48	47	44	45	45	44	42	41	39	39];'
'[39	39	41	43	45	48	47	44	45	44	43	42	40	39	39];'
'[40	42	45	48	51	53	52	50	48	49	48	46	45	43	41];'
'[39	42	45	48	48	51	49	48	50	49	47	45	44	44	42];'
'[39	41	44	47	48	50	49	47	49	48	46	44	43	42	40];'
'[39	40	43	46	47	49	47	46	45	45	43	42	41	40	40];'
'[40	41	42	44	47	49	48	47	49	46	44	43	42	40	39];'
'[40	42	44	47	49	51	49	48	49	48	46	44	43	42	41];'
'[40	41	44	47	48	50	49	47	49	47	46	44	43	42	41];'
'[40	41	43	45	49	51	49	44	43	44	46	45	44	42	39];'
'[39	40	42	44	46	50	47	44	45	46	44	42	40	40	39];'
'[39	39	40	41	45	45	47	44	43	45	44	42	40	40	39];'
'[39	40	40	41	44	47	46	42	43	44	42	40	39	39	39];'
'[39	39	40	43	45	48	46	44	43	42	42	41	40	40	39];'
'[39	39	41	43	46	49	47	44	44	45	44	42	41	39	39];'
'[39	39	41	43	45	49	47	44	44	45	43	42	40	39	39];'
'[40	41	43	45	49	51	49	44	43	44	46	45	44	42	39];'
'[39	40	41	44	47	50	48	44	42	43	45	44	42	40	39];'
'[39	39	41	43	45	49	46	43	44	45	43	41	39	39	39];'
'[39	40	40	41	44	47	46	42	43	44	42	40	39	39	39];'
'[39	39	40	42	44	48	47	44	45	46	43	42	39	39	39];'
'[39	40	41	43	46	49	48	44	44	45	44	43	41	40	39];'
'[39	39	41	43	45	49	47	44	44	45	44	42	40	39	39];'

