#This is data of staffing requirements calculated by Erlang A for instance21, and the total number of employees available is 150.

# staffing requirements for 15 intervals in 28 days are (each row represents a day, and each column represents an interval):
'[39	39	41	42	46	49	48	45	46	46	45	43	41	39	36];'
'[37	39	41	42	45	48	47	43	45	44	43	41	40	38	36];'
'[37	39	41	44	46	49	47	45	44	43	43	42	41	39	36];'
'[39	40	42	44	47	50	48	45	46	46	45	43	42	40	38];'
'[38	40	42	44	46	50	48	45	46	45	44	43	41	40	37];'
'[40	42	44	46	50	52	50	45	47	46	46	45	45	43	40];'
'[39	41	43	45	47	51	48	45	48	47	45	43	41	41	39];'
'[40	42	45	48	49	51	50	48	50	49	47	45	44	43	41];'
'[40	41	44	47	48	50	48	47	46	46	44	43	42	41	41];'
'[41	42	43	45	48	50	49	48	50	47	45	44	43	41	40];'
'[41	43	45	48	50	52	50	49	50	49	47	45	44	43	42];'
'[41	42	45	48	49	51	50	48	50	48	46	45	44	43	42];'
'[41	43	46	49	52	54	53	51	49	50	49	47	46	44	42];'
'[40	43	46	49	49	52	50	49	51	50	48	46	45	45	43];'
'[39	39	41	42	46	49	48	45	44	46	45	43	41	39	36];'
'[37	39	41	42	45	48	47	43	44	45	43	41	40	38	36];'
'[37	39	41	44	46	49	47	45	44	43	43	42	41	39	36];'
'[39	40	42	44	47	50	48	45	45	46	45	43	42	40	38];'
'[38	40	42	44	46	50	48	45	45	46	44	43	41	40	37];'
'[39	42	44	46	50	52	50	45	44	45	47	46	45	43	40];'
'[39	41	43	45	47	51	48	45	46	47	45	43	41	41	39];'
'[38	40	42	44	46	50	47	44	45	46	44	42	40	40	38];'
'[37	39	41	42	45	48	47	43	44	45	43	41	40	38	36];'
'[38	39	41	43	45	49	48	45	46	47	44	43	40	39	38];'
'[39	41	42	44	47	50	49	45	45	46	45	44	42	41	39];'
'[38	40	42	44	46	50	48	45	45	46	45	43	41	40	38];'
'[41	42	44	46	50	52	50	45	44	45	47	46	45	43	40];'
'[39	41	42	45	48	51	49	45	43	44	46	45	43	41	39];'

